Appliances,BathroomsFull,BathroomsHalf,Bedrooms,DateListed,Description,MlsId,MlsName,Price,Rooms,StreetAddress
"[u'Microwave', u'RangeOven']",,,0,2016-09-26 00:00:00,NOW OFFERING MOVE IN SPECIALS! THE BUILDING IS ALMOST SOLD OUT! Welcome to The Lofts On La Brea. The newest luxury community. This large top-floor studio is perfect for the entertainer that wants the ,16165994,CLAW,2550,[u'bathrooms'],1616 N LA BREA AVE
"[u'Built-In BBQ', u'Convection Oven', u'Cooktop - Gas', u'Double Oven', u'Microwave']",,,4,2016-09-26 00:00:00,"This timeless contemporary Craftsman residence in La Canada, built by C.H. Anderson, was once a grove of deodar pines, transformed into a property fit for entertaining and movement. Renowned architect",316009078,ITECH,3695000,"[u'bedrooms', u'bathrooms']",2011 Hall Canyon Drive
"[u'Microwave', u'RangeOven']",,,3,2016-09-27 00:00:00,Beautifully appointed single level condo in a newer Mediterranean courtyard building. A great open floor plan with 3 bedrooms/2.5 bathrooms and filled with natural sunlight. The chef's kitchen has che,16166222,CLAW,4350,"[u'bedrooms', u'bathrooms']",1522 AMHERST AVE
[u'Built-In Gas'],,,3,2016-09-28 00:00:00,"Beautiful remodeled single family residence at the end of a cul-de-sac. The stunning large kitchen is truly a show stopper with dark custom cabinets including a wine rack, stone counter tops, recessed",316009157,ITECH,575000,"[u'bedrooms', u'bathrooms']",247 Crystal Lane
[u'Free Standing Gas'],,,2,2016-09-28 00:00:00,"Charming townhouse style condo. Spacious, beautifully maintained light filled two bedroom two bath unit with hardwood floors, fireplace, two balconies, in unit washer/dryer and private two car garage.",316008990,ITECH,2400,"[u'bedrooms', u'bathrooms']",1124 East Chestnut Street #39
[],,,1,2016-09-29 13:35:23,"Situated in the vibrant downtown LA South Park area is this live/work light-filled one bedroom gem. It features open floor plan, modern built-in appliances, European cabinets, enclosed bedroom, ample ",316009232,ITECH,2650,"[u'bedrooms', u'bathrooms']",901 South Flower Street #506
[u'RangeOven'],,,3,2016-10-03 00:00:00,"Rare opportunity to purchase this wonderful 3 bed, 2 bath penthouse in a high demand Santa Monica area. Near shops, restaurants, Santa Monica Pier, Promenade, Santa Monica stairs and the beach; this h",16167460,CLAW,1498000,"[u'bedrooms', u'bathrooms']",429 MONTANA AVE
"[u'Cooktop - Gas', u'Microwave', u'Oven']",,,3,2016-10-03 00:00:00,"Welcome to 4842 Alminar Ave., considered a prime location for many in La Canada! Alminar is a quaint tree lined street not far from schools, shopping and restaurants. This cozy and charming 3 bedroom,",316009342,ITECH,1339000,"[u'bedrooms', u'bathrooms']",4842 Alminar Avenue
[],,,4,2016-10-03 00:00:00,"Beautiful turn-key traditional in La Canada Flintridge. Fantastic floor plan for entertaining with great indoor-outdoor flow. Large living room/ dining room, cooks kitchen and breakfast nook open to t",316009368,ITECH,1195000,"[u'bedrooms', u'bathrooms']",4113 Lanterman Lane
[u'Built-In BBQ'],,,3,2016-10-03 00:00:00,"Located in Northwest Glendale, above Bel Aire Drive, this stylishly remodeled home is sure to delight the most discerning buyer! The gorgeous chef's kitchen is straight out of Restoration Hardware and",16164958,CLAW,888000,"[u'bedrooms', u'bathrooms']",1425 SYCAMORE AVE
"[u'Range Hood', u'Microwave', u'RangeOven']",,,4,2016-10-03 00:00:00,"Mid-Century modern with gorgeous canyon views. This 2,835 sqft home has 4 bed, 3 baths and is bright and spacious throughout with plenty of room for entertaining. The living room with fireplace has la",16167440,CLAW,1998000,"[u'bedrooms', u'bathrooms']",901 TEAKWOOD RD
[],,,3,2016-10-04 00:00:00,"Charming traditional home on a nice tree lined street in Sunland. Built in 1953, this 3 bedroom 2 bathroom home has been well maintained and has many recent upgrades including wide plank hardwood floo",316009344,ITECH,549000,"[u'bedrooms', u'bathrooms']",8258 Owens Street
[u'RangeOven'],,,3,2016-10-04 00:00:00,"A decorator perfect home in Torrance Gardens awaits: enter this 1,611 sq. ft. gem from a welcoming brick front porch, step into the inviting living room with beautiful wood floors, and take your time ",SB16712658MR,CRMLS,779000,"[u'bedrooms', u'bathrooms']",1110 Felbar Avenue
"[u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,2,2016-10-04 00:00:00,"Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the ",16168406,CLAW,18500,"[u'bedrooms', u'bathrooms']",1 W CENTURY DR
"[u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,2,2016-10-04 00:00:00,"Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the ",16168294,CLAW,3849000,"[u'bedrooms', u'bathrooms']",1 W CENTURY DR
"[u'Microwave', u'RangeOven']",,,4,2016-10-04 00:00:00,Welcome to this wonderful small gated community in the heart of Tarzana. Drive up and you are greeted with a stamped driveway and rose bush lined path leading to a beautiful newer 4 bedroom property. ,16165260,CLAW,865000,"[u'bedrooms', u'bathrooms']",18913 ADOLFO AVE
"[u'Microwave', u'RangeOven']",,,2,2016-10-05 00:00:00,"Welcome to 2041 N Commonwealth. Be the the first to live in this Top-floor Corner unit since the full remodel including new floors, fresh paint, new counter tops and new appliances. A large master wit",16168832,CLAW,3095,"[u'bedrooms', u'bathrooms']",2041 N COMMONWEALTH AVE
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,6,2016-10-06 00:00:00,"Architectural oasis located on a quiet corner lot North of Montana- just moments from restaurants & the beach. Steel, wood & glass set the stage for serene living tucked behind privacy walls & hedges.",16169172,CLAW,6595000,"[u'bedrooms', u'bathrooms']",920 Alta AVE
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,5,2016-10-06 00:00:00,Come embrace a skillful blend of elements that gives this romantic Mediterranean energy and joy. Tour the thoughtful floorpan that will impress. Many incredible features & fine details make it unique.,16169094,CLAW,2249000,"[u'bedrooms', u'bathrooms']",2765 CASIANO RD
"[u'Range Hood', u'Microwave', u'RangeOven']",,,3,2016-10-06 00:00:00,Live above the city of lights in the peaceful and desirable Crestwood Hills area of Brentwood. This 3 bed/4 bath architectural home with wonderful canyon and ocean views boasts an open floor plan and ,16169036,CLAW,1799000,"[u'bedrooms', u'bathrooms']",1101 N KENTER AVE
"[u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,4,2016-10-06 00:00:00,"Perfectly situated on the most sought-after block of Adelaide Drive, this luxury four-level Santa Monica canyon home offers an idyllic lifestyle inclusive of breathtaking ocean & canyon views. Nestled",16168744,CLAW,6895000,"[u'bedrooms', u'bathrooms']",323 ADELAIDE DR
"[u'Built-In BBQ', u'Built-Ins', u'Microwave', u'RangeOven', u'Gas', u'Oven']",,,5,2016-10-07 00:00:00,"Designed by renowned architect Walter Scott Perry in the classic modern Bauhaus tradition, this newly remodeled, 5 bedroom & 6 bathroom contemporary home is sited on a serene, half-acre knoll in Bel A",16169260,CLAW,8499000,"[u'bedrooms', u'bathrooms']",1116 LINDA FLORA DR
"[u'Cooktop - Gas', u'Double Oven', u'Gas Grill', u'Range Hood']",,,4,2016-10-07 00:00:00,"This stunning 1926 Spanish estate sits on nearly 24,000 square feet of flat land and features a detached 1-BR/1-BA GUEST HOUSE. This house combines original character details with a fantastic floor pl",316009356,ITECH,2195000,"[u'bedrooms', u'bathrooms']",4762 La Canada Boulevard
[],,,2,2016-10-07 00:00:00,"Enchanting 1928 Spanish Bungalow high atop Mt. Washington. Perched above street level on a street-to-street lot, this graceful home has been lovingly preserved and is filled with original detail. Feat",16167196,CLAW,599000,"[u'bedrooms', u'bathrooms']",483 CRANE
[],,,2,2016-10-07 00:00:00,"A dog-leg left from the first fairway of the Oakmont Country Club is where you will find this hidden, quaint street with friendly neighbors. This single-story, mid Century home has clean lines that ar",316009501,ITECH,799000,"[u'bedrooms', u'bathrooms']",1436 Valane Drive
[u'Built-Ins'],,,2,2016-10-08 00:00:00,"Located in the heart of Brentwood, minutes from some of the best restaurants, boutiques and farmers markets in Los Angeles, this stylish condo beckons you home. Enjoy a thoughtfully-designed open floo",16169676,CLAW,875000,"[u'bedrooms', u'bathrooms']",750 S BUNDY DR
"[u'Range Hood', u'RangeOven']",,,2,2016-10-10 00:00:00,"Westside charmer. Coved ceilings, archways, wood floors, fireplace in a step-down living room. This home has been well maintained and upgraded with central heat and A/C, copper plumbing, CA cellar wit",16168984,CLAW,799000,"[u'bedrooms', u'bathrooms']",2601 PURDUE AVE
[],,,3,2016-10-12 00:00:00,"This 1957 ranch home is located on a quiet cul-de-sac near Paradise Canyon Elementary School and hiking trails. The home offers a large living/great room with high ceilings, fireplace, built-in cabine",316009646,ITECH,1195000,"[u'bedrooms', u'bathrooms']",526 Venado Vista Drive
"[u'Built-In BBQ', u'Range Hood', u'Microwave', u'RangeOven']",,,5,2016-10-12 00:00:00,"This rare single story contemporary is a WOW! In the ""Coastal Modern"" style of its celebrity designer Tim Clarke, interiors include Balinese ceilings, floor to ceiling windows/doors, and a seamless in",16170438,CLAW,5995000,"[u'bedrooms', u'bathrooms']",1125 NAPOLI DR
[u'RangeOven'],,,2,2016-10-12 00:00:00,"A spacious expertly designed condominium located on Main Street in Venice. Located in close proximity to Whole Foods, Rose Ave, and Venice Beach. This two bedroom two bath recently updated condo boast",16170802,CLAW,999000,"[u'bedrooms', u'bathrooms']",235 MAIN ST
"[u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,2,2016-10-13 00:00:00,"ATTENTION INVESTORS looking for an updated easy to manage condo with low dues! Tenant in place until NOV 1st 2017 at $3,300 per month. Can be shown with 48hrs notice. Just 12 blocks from the sand? At ",16170084,CLAW,779000,"[u'bedrooms', u'bathrooms']",1508 12TH ST
"[u'Microwave', u'RangeOven']",,,4,2016-10-13 00:00:00,Welcome to this Mar Vista/ Westdale Trousdale charmer on a wonderful tree lined street centrally located to everything the neighborhood has to offer.This pristine home offers 4 spacious Bedrooms (2 en,16170260,CLAW,1589000,"[u'bedrooms', u'bathrooms']",3181 FEDERAL AVE
[],,,0,2016-10-13 00:00:00,"An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce",16170236,CLAW,20000000,[],2317 Dickenson Road
"[u'Built-Ins', u'Convection Oven', u'Cooktop - Gas', u'Microwave', u'Oven']",,,3,2016-10-14 00:00:00,"Price Reduction! Beautiful 1926 Character Spanish! Located on a peaceful street, this lovely Spanish Colonial is immaculate. Living Room Offers Gleaming Tongue and Groove Hardwood floors and the state",316009693,ITECH,1126000,"[u'bedrooms', u'bathrooms']",1320 Loreto Drive
[],,,3,2016-10-15 16:59:01,Charming 3 BR/ 3 BA home FOR LEASE in the award-winning La Canada Unified School district. The updated kitchen features granite counters and opens to the family room and dining area. Spacious Master B,316009737,ITECH,4000,"[u'bedrooms', u'bathrooms']",4439 Alta Canyada Road
"[u'Built-In BBQ', u'RangeOven']",,,5,2016-10-17 00:00:00,"Welcome home to this beautiful Contemporary Traditional in the exclusive guard gated community of the Palisades Country Estates. This great family home, at the end of a cul-de-sac, offers 5 spacious e",16170720,CLAW,3895000,"[u'bedrooms', u'bathrooms']",17795 CALLE DE PALERMO
[],,,2,2016-10-17 00:00:00,"Melrose Village Spanish Bungalow Heavy Fixer/Tear-down. Property to be sold in AS-IS condition with no repairs, credits, or warranties. Located in prime 90036 neighborhood moments from The Grove, Melr",16171978,CLAW,825000,"[u'bedrooms', u'bathrooms']",7462 CLINTON ST
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven', u'Built-In Gas', u'Cooktop - Gas']",,,5,2016-10-17 00:00:00,"Located in the heart of Royal Oaks of Encino, sits a newly remodeled contemporary California craftsmanship 5BD/5.5 BA. This Cape Cod-inspired interior has rich French Oak floors throughout, generous l",16171376,CLAW,3499000,"[u'bedrooms', u'bathrooms']",15630 WOODVALE RD
"[u'Gas', u'Oven-Gas']",,,2,2016-10-17 00:00:00,"Just One and half blocks (5 minute walk) from the Metro Gold Line, this heavily-treed urban oasis is conveniently located near restaurants, shopping, art galleries, Old Pasadena, Paseo, South Lake Ave",316009746,ITECH,599000,"[u'bedrooms', u'bathrooms']",330 Cordova Street #312
"[u'Gas/Electric Range', u'Oven']",,,3,2016-10-18 00:00:00,"Beautiful property in desirable La Canada/Flintridge. Charming traditional one story house in a beautiful neighborhood, kitchen with breakfast room and convenient and spacious family room, Banquet siz",316009802,ITECH,1450000,"[u'bedrooms', u'bathrooms']",5715 Summit Crest Drive
[u'RangeOven'],,,0,2016-10-19 00:00:00,"Chic studio located on a wonderful tree-lined street in the heart of Pasadena. Well situated in the sophisticated Oakland Towers, this unit features a double door entry, large picture windows with vie",316009753,ITECH,355000,[u'bathrooms'],385 South Oakland Avenue #105
[u'Built-Ins'],,,3,2016-10-19 00:00:00,"Eco Chic Living in the heart of Venice! 2,400sq feet single family house on three levels built in 2008. 3 bedrooms, 3.5 baths.Lofty architectural living w volume, light & space. High ceilings, multipl",16173026,CLAW,9250,"[u'bedrooms', u'bathrooms']",2307 OAKWOOD AVE
"[u'Microwave', u'RangeOven']",,,1,2016-10-19 00:00:00,"Extensively Remodeled Units for Lease in prime and hip WEHO! Modern designer finishes include French Oak laminate flooring throughout, kitchen with stainless steel appliances, caesartone counters and ",16172792,CLAW,3750,"[u'bedrooms', u'bathrooms']",610 N Orlando AVE
"[u'Microwave', u'RangeOven']",,,2,2016-10-19 00:00:00,"Extensively Remodeled Units for Lease in prime and hip WEHO! Modern designer finishes include French Oak laminate flooring throughout, a kitchen with stainless steel appliances, caesartone counters an",16172880,CLAW,3750,"[u'bedrooms', u'bathrooms']",610 N Orlando AVE
[],,,4,2016-10-19 21:51:45,"Charming home located on a tree lined street. Great curb appeal, mature trees, backyard porch, hardwood floors, living room with a fireplace, nicely remodeled bathrooms, and kitchen, lots of closet sp",316009844,ITECH,3500,"[u'bedrooms', u'bathrooms']",277 Atchison Street
[],,,3,2016-10-20 00:00:00,"Situated at the end of a quiet canyon lane, this stunning contemporary home offers a tranquil, serene setting. Soaring ceilings, expansive windows, and skylights create tremendous natural light throug",16173052,CLAW,1495000,"[u'bedrooms', u'bathrooms']",10267 LELIA LN
"[u'Built-In BBQ', u'Built-Ins']",,,6,2016-10-20 00:00:00,This magnificent Tuscan home with stunning ocean views sits on over an acre of beautiful landscaped grounds. The property is located in the highly desirable neighborhood of Point Dume with beach keys ,16173342,CLAW,35000,"[u'bedrooms', u'bathrooms']",6766 PORTSHEAD RD
[u'RangeOven'],,,3,2016-10-20 00:00:00,This picturesque mid-century ranch style home on a large quiet lot in coveted Royal Woods is the home you have been waiting for! Open and flowing public areas separated from the private bedroom wing m,16173190,CLAW,1295000,"[u'bedrooms', u'bathrooms']",3632 VALLEY MEADOW RD
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,5,2016-10-20 00:00:00,"As part of Santa Monica's historically exclusive Gold Coast, where Hollywood's elite first converged to claim a beachfront oasis to call their own, this John Byers-designed Spanish Colonial Revival el",16173212,CLAW,9250000,"[u'bedrooms', u'bathrooms']",1024 PALISADES BEACH RD
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,3,2016-10-20 00:00:00,"Stunning beach front property! This remodeled home nestled in the Encinal Bluffs, sits right above the sand on a quiet beach cove. This quintessential Tuscan home features authentic finishes of reclai",16173320,CLAW,35000,"[u'bedrooms', u'bathrooms']",32506 PACIFIC COAST HWY
"[u'Built-Ins', u'RangeOven']",,,2,2016-10-21 00:00:00,"Romantic Spanish Hacienda hidden behind a tall privacy hedge. A true retreat full of old-world charm. 2 bedrooms, 2.5 baths plus a converted garage with office, den and ~ bath. Filled with natural lig",16173754,CLAW,2049000,"[u'bedrooms', u'bathrooms']",1023 S BUNDY DR
"[u'Built-In BBQ', u'Built-Ins', u'Microwave', u'RangeOven']",,,3,2016-10-21 00:00:00,Tucked away on a serene street North of Sunset in one of the most sought after areas of Brentwood is 450 N. Skyewiay. This immaculate and ample traditional home has been meticulously maintained and ri,16173746,CLAW,2894000,"[u'bedrooms', u'bathrooms']",450 N SKYEWIAY RD
[],,,2,2016-10-21 00:00:00,1940's Traditional in desirable NE Monrovia neighborhood within Gold Ribbon School boundry. This 2 bedroom 1 bath home features an open concept living room dining room w/hardwood floors and playroom t,316009913,ITECH,598000,"[u'bedrooms', u'bathrooms']",705 East Palm Avenue
[u'RangeOven'],,,3,2016-10-21 00:00:00,"Gorgeous 3 Bedroom, 3 Bathroom Traditional home exquisitely remodeled! Great flow for entertaining with formal dining & living area, hardwood floors, beautiful moldings, two fireplaces, top of the lin",16172958,CLAW,2595000,"[u'bedrooms', u'bathrooms']",11158 OPHIR DR
[u'RangeOven'],,,2,2016-10-21 00:00:00,"Adorable renovated Country English cottage with hardwood floors, two bedrooms, two renovated baths and tons of natural light. Master suite with renovated spa bath with vaulted ceilings and skylight. U",16173736,CLAW,3995,"[u'bedrooms', u'bathrooms']",525 N N. CRESCENT HEIGHTS
[],,,4,2016-10-24 00:00:00,Step into this beautifully designed home located at the end of a cul-de-sac nestled in the hills of Malibu. This peaceful and private oasis is tucked behind a walled courtyard entry and gated driveway,16174228,CLAW,1995000,"[u'bedrooms', u'bathrooms']",1712 MANZANITA PARK AVE
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,2,2016-10-24 00:00:00,"You immediately feel at home when you step into this luxurious 2 bedrooms and 2.5 bath condominium with an open floor plan and designer finishes. The living quarters features bamboo floors, crown mold",16173864,CLAW,1195000,"[u'bedrooms', u'bathrooms']",11863 DARLINGTON AVE
"[u'Built-In BBQ', u'Built-Ins', u'RangeOven']",,,5,2016-10-24 00:00:00,"A magnificent new gated home beautifully situated on a large lot (over 13,000 feet) at the intersection of Bel-Air and Westwood. Convenient and easy access to Westwood Village, Beverly Hills, Brentwoo",16172810,CLAW,4495000,"[u'bedrooms', u'bathrooms']",11166 W SUNSET
"[u'Built-In BBQ', u'Gas', u'Oven-Gas']",,,3,2016-10-25 00:00:00,"Welcome Home! This beautiful home offers 3 bedrooms, 2 baths with 2004 sq ft of living space. Enjoy gathering in your living room by one of the fireplaces that is connected to the spacious dining area",316010002,ITECH,899000,"[u'bedrooms', u'bathrooms']",2331 North Orchard Drive
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,5,2016-10-25 00:00:00,"Truly a rare opportunity in Brentwood Park, minutes to the Country Mart, this charming Traditional has great scale and flow -- both indoors and out -- and is ideally suited for gracious living and ent",16174500,CLAW,7350000,"[u'bedrooms', u'bathrooms']",245 S BURLINGAME AVE
"[u'Microwave', u'RangeOven']",,,3,2016-10-25 00:00:00,"Panoramic ocean views from this stunning, modern architectural home designed to perfection! Gorgeous open floor plan with high ceilings and skylights. The grand living room features walls of glass wit",16174714,CLAW,16000,"[u'bedrooms', u'bathrooms']",18326 CLIFFTOP WAY
[],,,3,2016-10-26 00:00:00,"Nestled in the scenic foothills of the San Gabriel Mountains, this beautifully maintained mid-century ranch is a composition of large, light-filled spacesa generous canvas to make your own. The 9,520-",316010040,ITECH,899000,"[u'bedrooms', u'bathrooms']",1710 East Mendocino Street
[u'RangeOven'],,,3,2016-10-26 00:00:00,"Spectacular 3 bed/3 bath + loft townhome located in the heart of Silicon Beach, Just one block from Main Street, and three blocks from the beach! This FAIA Award winning Michael Folonis creation has a",16174642,CLAW,2079000,"[u'bedrooms', u'bathrooms']",235 OCEAN PARK
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,5,2016-10-27 00:00:00,"Elegantly situated in the heart of Beverly Hills sits this 2 story Mediterranean home w/ architectural details, 5 bdrms, 6 ~ bas & an inviting GH w/ add'l bedrm & bath. Enter thru the dramatic 2 story",16174878,CLAW,7995000,"[u'bedrooms', u'bathrooms']",701 N ALPINE DR
[],,,4,2016-10-27 12:33:34,"This sensational 1927 Spanish Colonial, revived to perfection, stands proudest among the other notable properties in this most coveted location of Rossmoyne Historic District. Rossmoyne is one of Glen",316010077,ITECH,1895000,"[u'bedrooms', u'bathrooms']",1121 Hillcroft Road
[],,,4,2016-10-28 00:00:00,"Nothing defines Southern California real estate like the understated elegance of a two-story Spanish Revival home. Located in the prestigious Cal Tech area of Pasadena, with San Marino just a block aw",316010117,ITECH,1699000,"[u'bedrooms', u'bathrooms']",370 South Berkeley Avenue
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,3,2016-10-28 00:00:00,"Charming original Spanish style 3 bedroom + 1.75 bath single level home. Approximately 2,266 sq ft on a 50~150 lot with pool and converted garage. Tons of natural light, hardwood floors and original d",16175808,CLAW,3195000,"[u'bedrooms', u'bathrooms']",609 11TH ST
"[u'Range Hood', u'RangeOven']",,,2,2016-10-29 00:00:00,"Elegant contemporary two bedroom condo at the much sought after Metro in Playa Vista. Located on the 3rd floor, this unit has been impeccably maintained and was recently upgraded. Step into the formal",16175522,CLAW,799000,"[u'bedrooms', u'bathrooms']",5625 W CRESCENT PARK
[u'RangeOven'],,,4,2016-10-29 00:00:00,"If you love the magnificence of a great view, this is one of best. King of the Hill panoramic views of Los Angeles and the the mountains beyond. Dramatic architectural home by Escher Gunewardena, loca",16167486,CLAW,7750,"[u'bedrooms', u'bathrooms']",3292 INGLEWOOD
[],,,4,2016-10-31 00:00:00,"San Marino Schools! Located in a quiet cul de sac, this traditional single story ranch home has 4 bedrooms and 3.5 bath including permitted guest house ( approx.545 sqft) in San Marino school district",316010184,ITECH,3950,"[u'bedrooms', u'bathrooms']",3263 Orlando Road
"[u'Microwave', u'RangeOven']",,,2,2016-10-31 00:00:00,"Beautifully renovated character Spanish Bungalow in amazing Melrose Village (90036) location. Living room w/ barreled ceilings, formal dining room, newer hardwood floors, wood burning fireplace, newer",16175946,CLAW,899000,"[u'bedrooms', u'bathrooms']",7463 ROSEWOOD AVE
"[u'Built-In Gas', u'Double Oven', u'Range Hood']",,,3,2016-11-01 00:00:00,"This modern contemporary home resides on a corner lot in the upscale Langham Area of Pasadena, a neighborhood characterized by rolling, oak-covered terrain on the base of the picturesque San Gabriel M",316010138,ITECH,1998000,"[u'bedrooms', u'bathrooms']",929 Old Mill Road
"[u'Microwave', u'RangeOven']",,,2,2016-11-01 00:00:00,"Extensively Remodeled Units for Lease in prime and hip WeHo! Modern designer finishes include French Oak laminate wood flooring throughout, a kitchen complete with stainless steel appliances, Caesarst",16176498,CLAW,3550,"[u'bedrooms', u'bathrooms']",610 N Orlando AVE
[],,,2,2016-11-02 00:00:00,"Come discover an enchanting brick cottage in the heart of Highland Park. Once you step under the bougainvillea onto the flagstone porch, you'll be smitten. 4746 Toland Way was designed by LA architect",16174184,CLAW,768000,"[u'bedrooms', u'bathrooms']",4746 TOLAND WAY
[u'Free Standing Gas'],,,3,2016-11-02 00:00:00,"Light-filled 3 bedroom, 2 bath Townhome that feels like a single family residence in great Rose Court neighborhood. This Craftsman style home features beautifully redone hardwood floors in the main li",316009971,ITECH,3000,"[u'bedrooms', u'bathrooms']",1143 Crowne Drive
"[u'Free Standing Gas', u'Oven-Gas']",,,4,2016-11-02 11:55:26,"Located in the desirable city of San Marino, near the prestigious Huntington Library, perched up and set back from the street, is this 4 bedrooms 4 baths whimsical traditional. It has been extensively",316010241,ITECH,2485000,"[u'bedrooms', u'bathrooms']",555 Sierra Madre Boulevard
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,6,2016-11-03 00:00:00,"A grand union of modern craftsmanship and traditional architecture, this magnificent Cape Cod was conceived by EMMA, the developers responsible for the redesign of Santa Barbara Airport's historic ter",16172836,CLAW,5985000,"[u'bedrooms', u'bathrooms']",1102 GALLOWAY ST
[],,,0,2016-11-03 00:00:00,Great Opportunity! Buyer needs to check with City of Glendale and LA County Flood Control for possible specific uses of this property. Plans drawn in 2005 are available for viewing.,316010267,ITECH,150000,[],0 Roselawn
[u'RangeOven'],,,3,2016-11-03 00:00:00,"Spacious two story, top floor condo with 3 bedrooms and 3 bathrooms. Close proximity to the area's best bars and restaurants. Condo has vaulted ceilings, hardwood floors in living room, loft ideal for",16171784,CLAW,969000,"[u'bedrooms', u'bathrooms']",1227 GRANVILLE AVE
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'RangeOven']",,,2,2016-11-03 00:00:00,"Sensational home in the coveted Vets Park neighborhood. A true move-in ready, opportunity. Meticulously maintained. Features include, oak flooring, large master suite, bright kitchen with breakfast no",16177368,CLAW,1285000,"[u'bedrooms', u'bathrooms']",11017 WAGNER ST
[u'Microwave'],,,3,2016-11-03 00:00:00,Impeccable home!!! Tons of upgrades!!! Remodeled kitchen with stainless steel appliances and granite counter tops. 2-car attached garage. Zoning is possible for backyard expansion. Lots of possibiliti,16177332,CLAW,650000,"[u'bedrooms', u'bathrooms']",3850 GLENALBYN DR
[u'Oven'],,,4,2016-11-03 00:00:00,"Beautiful Four Bedroom + Studio home. Located on a Corner Lot. Warm & inviting spacious living room filled w/ character touches such as peg & groove hardwood floors, wood beam ceiling and decorative f",16177116,CLAW,1368000,"[u'bedrooms', u'bathrooms']",11435 BIONA DR
"[u'Cooktop - Gas', u'Oven']",,,3,2016-11-03 07:20:11,"Fantastic three bedroom townhome located in Cal Ritz-Park complex across from Singer Park. Conveniently located close to Old Town, Rose Parade route, Huntington Hospital. This unit is bright and light",316010261,ITECH,608000,"[u'bedrooms', u'bathrooms']",265 West California Boulevard #8
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,2,2016-11-04 00:00:00,"This two bedroom residence located in Downtown L.A.'s landmark Eastern Columbia Building has been completely reimagined by designer/architect Andrea Keller, drawing its design inspiration from Havana,",16177590,CLAW,1565000,"[u'bedrooms', u'bathrooms']",849 S BROADWAY
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,1,2016-11-04 00:00:00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 1 bedroom/2 bath residence sitting atop the landmark Eastern Columbi",16177272,CLAW,1999000,"[u'bedrooms', u'bathrooms']",849 S BROADWAY
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,2,2016-11-04 00:00:00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 2 bedroom/3 bath residence situated within Los Angeles's most archit",16177260,CLAW,2750000,"[u'bedrooms', u'bathrooms']",849 S BROADWAY
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,2,2016-11-04 00:00:00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 2 bedroom/3 bath residence featuring 2,400 square feet of vibrantly-",16177234,CLAW,2649000,"[u'bedrooms', u'bathrooms']",849 S BROADWAY
[u'Built-In Gas'],,,3,2016-11-05 06:16:15,"Charming, updated (approx 4 years ago) Spanish-style single family framed by lovely landscaping. Truly move-in ready. Centrally located, close to shopping, with easy freeway access. The remodeled kitc",316010316,ITECH,540000,"[u'bedrooms', u'bathrooms']",766 Elmira Street
"[u'Built-In Gas', u'Cooktop - Gas', u'Microwave', u'Oven']",,,3,2016-11-07 00:00:00,"Set against the backdrop of the majestic San Gabriel Mountains, this beautiful single-level Spainsh home rests behind the gates of La Vina in Altadena. Enter through the lush courtyard to the front do",316010376,ITECH,5000,"[u'bedrooms', u'bathrooms']",560 Chaparral Court
[],,,3,2016-11-08 00:00:00,A prime flat ~1.5 acre lot w/ a unique use of modern finishes & innovative design by Vitus Matare. This private gated single story marvel is adorned w/ mature trees ranging from avocados to evergreens,16178498,CLAW,30000,"[u'bedrooms', u'bathrooms']",6237 BONSALL DR
